"Gene","Count","Tissue","Patient ID","Data File ID"
"ENSG00000187554","71","Cerebellum","NEUDX768ADY","CGND-HRA-02797"
"ENSG00000187554","61","Cerebellum","NEUEA633EN5","CGND-HRA-00671"
"ENSG00000187554","32","Cerebellum","NEUEB569WFU","CGND-HRA-01421"
"ENSG00000187554","25","Cerebellum","NEUEC006FND","CGND-HRA-00073"
"ENSG00000187554","36","Cerebellum","NEUEE362LGE","CGND-HRA-01632"
"ENSG00000187554","40","Cerebellum","NEUEE593VY7","CGND-HRA-00404"
"ENSG00000187554","51","Cerebellum","NEUEF397VVN","CGND-HRA-00303"
"ENSG00000187554","34","Cerebellum","NEUEF856BLV","CGND-HRA-00465"
"ENSG00000187554","132","Cerebellum","NEUEG442LDR","CGND-HRA-00667"
"ENSG00000187554","23","Cerebellum","NEUEH612JPA","CGND-HRA-00542"
"ENSG00000187554","91","Cerebellum","NEUEL133AK6","CGND-HRA-00069"
"ENSG00000187554","58","Cerebellum","NEUEL766XR1","CGND-HRA-03485"
"ENSG00000187554","49","Cerebellum","NEUEM417CHQ","CGND-HRA-02507-2"
"ENSG00000187554","8","Cerebellum","NEUEP010ZFE","CGND-HRA-01178"
"ENSG00000187554","14","Cerebellum","NEUFE255AG2","CGND-HRA-00486"
"ENSG00000187554","18","Cerebellum","NEUFF179PPT","CGND-HRA-00492"
"ENSG00000187554","32","Cerebellum","NEUFG213VG0","CGND-HRA-03295"
"ENSG00000187554","29","Cerebellum","NEUFN693AHN","CGND-HRA-02741"
"ENSG00000187554","18","Cerebellum","NEUFT454ZFP","CGND-HRA-00203"
"ENSG00000187554","22","Cerebellum","NEUFU395MJD","CGND-HRA-03057"
"ENSG00000187554","15","Cerebellum","NEUFV843EVC","CGND-HRA-01504"
"ENSG00000187554","92","Cerebellum","NEUFY271WFL","CGND-HRA-03271"
"ENSG00000187554","9","Cerebellum","NEUGA773REC","CGND-HRA-00081"
"ENSG00000187554","65","Cerebellum","NEUGD051YM7","CGND-HRA-02432"
"ENSG00000187554","15","Cerebellum","NEUGD887RT1","CGND-HRA-01492-2"
"ENSG00000187554","43","Cerebellum","NEUGG230KV0","CGND-HRA-02438"
"ENSG00000187554","7","Cerebellum","NEUGJ562DR9","CGND-HRA-02515"
"ENSG00000187554","26","Cerebellum","NEUGJ583BEE","CGND-HRA-01184-2"
"ENSG00000187554","11","Cerebellum","NEUGK141CFH","CGND-HRA-01173"
"ENSG00000187554","54","Cerebellum","NEUGL022MN2","CGND-HRA-01585"
"ENSG00000187554","5","Cerebellum","NEUGP259EBV","CGND-HRA-01443"
"ENSG00000187554","18","Cerebellum","NEUGT049MJ1","CGND-HRA-02909"
"ENSG00000187554","13","Cerebellum","NEUGU437VNF","CGND-HRA-01422"
"ENSG00000187554","16","Cerebellum","NEUGV102NYT","CGND-HRA-01975"
"ENSG00000187554","16","Cerebellum","NEUGV399KJW","CGND-HRA-00365"
"ENSG00000187554","13","Cerebellum","NEUGY575NUQ","CGND-HRA-00585"
"ENSG00000187554","20","Cerebellum","NEUGY741GH8","CGND-HRA-00480"
"ENSG00000187554","21","Cerebellum","NEUHC282LVJ","CGND-HRA-00077"
"ENSG00000187554","42","Cerebellum","NEUHC994KV4","CGND-HRA-02232"
"ENSG00000187554","24","Cerebellum","NEUHD481VCL","CGND-HRA-00206"
"ENSG00000187554","42","Cerebellum","NEUHJ609AXD","CGND-HRA-03501"
"ENSG00000187554","40","Cerebellum","NEUHM340FBZ","CGND-HRA-00706"
"ENSG00000187554","16","Cerebellum","NEUHM399CBL","CGND-HRA-01561"
"ENSG00000187554","31","Cerebellum","NEUHR385WC6","CGND-HRA-03318"
"ENSG00000187554","34","Cerebellum","NEUHT948VAD","CGND-HRA-03457"
"ENSG00000187554","41","Cerebellum","NEUHX090PGV","CGND-HRA-00643"
"ENSG00000187554","42","Cerebellum","NEUJF556NPE","CGND-HRA-03336"
"ENSG00000187554","10","Cerebellum","NEUJL308UBK","CGND-HRA-01350"
"ENSG00000187554","38","Cerebellum","NEUJR587KPC","CGND-HRA-02226-2"
"ENSG00000187554","37","Cerebellum","NEUJT167ZDX","CGND-HRA-03277"
"ENSG00000187554","9","Cerebellum","NEUJV725KH1","CGND-HRA-03013"
"ENSG00000187554","22","Cerebellum","NEUJW763EK7","CGND-HRA-03283"
