"Gene","Count","Tissue","Patient ID","Data File ID"
"ENSG00000107902","1604","Cerebellum","NEUGD051YM7","CGND-HRA-02432"
"ENSG00000107902","457","Cerebellum","NEUGD887RT1","CGND-HRA-01492-2"
"ENSG00000107902","1333","Cerebellum","NEUGG230KV0","CGND-HRA-02438"
"ENSG00000107902","348","Cerebellum","NEUGJ562DR9","CGND-HRA-02515"
"ENSG00000107902","710","Cerebellum","NEUGJ583BEE","CGND-HRA-01184-2"
"ENSG00000107902","544","Cerebellum","NEUGK141CFH","CGND-HRA-01173"
"ENSG00000107902","351","Cerebellum","NEUGL022MN2","CGND-HRA-01585"
"ENSG00000107902","308","Cerebellum","NEUGP259EBV","CGND-HRA-01443"
"ENSG00000107902","624","Cerebellum","NEUGT049MJ1","CGND-HRA-02909"
"ENSG00000107902","266","Cerebellum","NEUGU437VNF","CGND-HRA-01422"
"ENSG00000107902","488","Cerebellum","NEUGV102NYT","CGND-HRA-01975"
"ENSG00000107902","289","Cerebellum","NEUGV399KJW","CGND-HRA-00365"
"ENSG00000107902","308","Cerebellum","NEUGY575NUQ","CGND-HRA-00585"
"ENSG00000107902","1260","Cerebellum","NEUGY741GH8","CGND-HRA-00480"
"ENSG00000107902","127","Cerebellum","NEUHC282LVJ","CGND-HRA-00077"
"ENSG00000107902","531","Cerebellum","NEUHC994KV4","CGND-HRA-02232"
"ENSG00000107902","322","Cerebellum","NEUHD481VCL","CGND-HRA-00206"
"ENSG00000107902","1370","Cerebellum","NEUHJ609AXD","CGND-HRA-03501"
"ENSG00000107902","272","Cerebellum","NEUHM340FBZ","CGND-HRA-00706"
"ENSG00000107902","254","Cerebellum","NEUHM399CBL","CGND-HRA-01561"
"ENSG00000107902","548","Cerebellum","NEUHR385WC6","CGND-HRA-03318"
"ENSG00000107902","1477","Cerebellum","NEUHT948VAD","CGND-HRA-03457"
"ENSG00000107902","626","Cerebellum","NEUHX090PGV","CGND-HRA-00643"
"ENSG00000107902","753","Cerebellum","NEUJF556NPE","CGND-HRA-03336"
"ENSG00000107902","343","Cerebellum","NEUJL308UBK","CGND-HRA-01350"
"ENSG00000107902","448","Cerebellum","NEUKN179PH8","CGND-HRA-03607"
"ENSG00000107902","690","Cerebellum","NEUJR587KPC","CGND-HRA-02226-2"
"ENSG00000107902","283","Cerebellum","NEUJT167ZDX","CGND-HRA-03277"
"ENSG00000107902","576","Cerebellum","NEUJV725KH1","CGND-HRA-03013"
"ENSG00000107902","757","Cerebellum","NEUJW763EK7","CGND-HRA-03283"
"ENSG00000107902","213","Cerebellum","NEUJZ255ZC5","CGND-HRA-00076"
"ENSG00000107902","271","Cerebellum","NEUKD974CXJ","CGND-HRA-01413"
"ENSG00000107902","498","Cerebellum","NEUKG838WER","CGND-HRA-01579"
"ENSG00000107902","490","Cerebellum","NEUKH671TD4","CGND-HRA-02256"
"ENSG00000107902","1790","Cerebellum","NEUKJ257ZPG","CGND-HRA-01573"
"ENSG00000107902","738","Cerebellum","NEUKJ976GGT","CGND-HRA-03004"
"ENSG00000107902","636","Cerebellum","NEUKM699KKH","CGND-HRA-00074"
"ENSG00000107902","437","Cerebellum","NEUKN179PH8","CGND-HRA-02142"
"ENSG00000107902","367","Cerebellum","NEUKN209FNW","CGND-HRA-01362"
"ENSG00000107902","495","Cerebellum","NEUKT470MVZ","CGND-HRA-02456"
"ENSG00000107902","578","Cerebellum","NEUKV592NUT","CGND-HRA-01616"
"ENSG00000107902","260","Cerebellum","NEUKX037NKA","CGND-HRA-00182"
"ENSG00000107902","231","Cerebellum","NEUKX037NKA","CGND-HRA-00533"
"ENSG00000107902","422","Cerebellum","NEUKY135CV6","CGND-HRA-00380"
"ENSG00000107902","584","Cerebellum","NEUKZ647RCA","CGND-HRA-03348"
"ENSG00000107902","396","Cerebellum","NEUKZ727YY5","CGND-HRA-01622"
"ENSG00000107902","538","Cerebellum","NEULA285XJ0","CGND-HRA-01625"
"ENSG00000107902","442","Cerebellum","NEULH417FZJ","CGND-HRA-01278"
"ENSG00000107902","236","Cerebellum","NEULH901PYF","CGND-HRA-00726"
"ENSG00000107902","154","Cerebellum","NEULJ443PF5","CGND-HRA-01467"
"ENSG00000107902","498","Cerebellum","NEULN488RD5","CGND-HRA-00731"
"ENSG00000107902","1681","Cerebellum","NEULP959LBP","CGND-HRA-01544"
"ENSG00000107902","335","Cerebellum","NEULT268RM4","CGND-HRA-00719"
"ENSG00000107902","325","Cerebellum","NEULV114EY9","CGND-HRA-01982"
"ENSG00000107902","750","Cerebellum","NEULV205HP5","CGND-HRA-03445"
"ENSG00000107902","313","Cerebellum","NEUME287RK2","CGND-HRA-00072"
"ENSG00000107902","2411","Cerebellum","NEUMG691WPH","CGND-HRA-03474"
"ENSG00000107902","665","Cerebellum","NEUMH687NCM","CGND-HRA-03396"
"ENSG00000107902","472","Cerebellum","NEUMJ990MCW","CGND-HRA-03301"
"ENSG00000107902","257","Cerebellum","NEUMK638LUX","CGND-HRA-00549"
"ENSG00000107902","240","Cerebellum","NEUML172BXK","CGND-HRA-00197"
"ENSG00000107902","2684","Cerebellum","NEUMM043VF4","CGND-HRA-02444"
"ENSG00000107902","189","Cerebellum","NEUMP035RP4","CGND-HRA-00204"
"ENSG00000107902","833","Cerebellum","NEUMT947ALA","CGND-HRA-00392"
"ENSG00000107902","410","Cerebellum","NEUMV641VYK","CGND-HRA-00410"
"ENSG00000107902","754","Cerebellum","NEUMY028JH4","CGND-HRA-01354"
"ENSG00000107902","223","Cerebellum","NEUNE163HV9","CGND-HRA-02912"
"ENSG00000107902","412","Cerebellum","NEUNE940RZC","CGND-HRA-00398"
"ENSG00000107902","674","Cerebellum","NEUNL548ZBN","CGND-HRA-00730"
"ENSG00000107902","373","Cerebellum","NEUNL974RU6","CGND-HRA-00620"
"ENSG00000107902","476","Cerebellum","NEUNW210GCW","CGND-HRA-00082"
"ENSG00000107902","446","Cerebellum","NEUNW244GF0","CGND-HRA-00349"
"ENSG00000107902","304","Cerebellum","NEUNY116EZW","CGND-HRA-00713"
"ENSG00000107902","316","Cerebellum","NEUNY116EZW","CGND-HRA-01480"
"ENSG00000107902","336","Cerebellum","NEUPG593UTV","CGND-HRA-03051"
"ENSG00000107902","603","Cerebellum","NEUPG876HJT","CGND-HRA-02163"
"ENSG00000107902","534","Cerebellum","NEUPH726JJJ","CGND-HRA-03439"
"ENSG00000107902","297","Cerebellum","NEUPK732LNT","CGND-HRA-00725"
"ENSG00000107902","226","Cerebellum","NEUPM864FBE","CGND-HRA-01613"
"ENSG00000107902","230","Cerebellum","NEUPU334DL1","CGND-HRA-01370"
"ENSG00000107902","561","Cerebellum","NEURA496RM8","CGND-HRA-03408"
"ENSG00000107902","501","Cerebellum","NEURD419AFL","CGND-HRA-03037"
"ENSG00000107902","820","Cerebellum","NEURD711XCL","CGND-HRA-00721"
"ENSG00000107902","2900","Cerebellum","NEURJ886YZU","CGND-HRA-01510-2"
"ENSG00000107902","1170","Cerebellum","NEURK749WFB","CGND-HRA-00729"
"ENSG00000107902","226","Cerebellum","NEURN516YR8","CGND-HRA-00720"
"ENSG00000107902","230","Cerebellum","NEURW761XNG","CGND-HRA-01451"
"ENSG00000107902","133","Cerebellum","NEURX991BWB","CGND-HRA-00618"
"ENSG00000107902","659","Cerebellum","NEURY396DC4","CGND-HRA-01603"
"ENSG00000107902","1923","Cerebellum","NEURY468PVP","CGND-HRA-02244"
"ENSG00000107902","206","Cerebellum","NEUTB398FC9","CGND-HRA-00434"
"ENSG00000107902","439","Cerebellum","NEUTC015WBG","CGND-HRA-02500"
"ENSG00000107902","597","Cerebellum","NEUTC651YRK","CGND-HRA-01591-2"
"ENSG00000107902","323","Cerebellum","NEUTD254HL0","CGND-HRA-01516"
"ENSG00000107902","218","Cerebellum","NEUTL441LZ7","CGND-HRA-00319"
"ENSG00000107902","465","Cerebellum","NEUTL588HAA","CGND-HRA-01459"
"ENSG00000107902","384","Cerebellum","NEUTN269WMP","CGND-HRA-03031"
"ENSG00000107902","379","Cerebellum","NEUTP019MY9","CGND-HRA-00357"
"ENSG00000107902","584","Cerebellum","NEUTP414KZ2","CGND-HRA-00196"
"ENSG00000107902","457","Cerebellum","NEUTR110WRK","CGND-HRA-02533"
"ENSG00000107902","265","Cerebellum","NEUTZ062XC5","CGND-HRA-00653"
"ENSG00000107902","730","Cerebellum","NEUTZ242FYW","CGND-HRA-02486"
"ENSG00000107902","241","Cerebellum","NEUUE532LFF","CGND-HRA-00723"
"ENSG00000107902","419","Cerebellum","NEUUF289NRL","CGND-HRA-01366"
"ENSG00000107902","371","Cerebellum","NEUUK557CZW","CGND-HRA-00475"
"ENSG00000107902","1073","Cerebellum","NEUUW406NWF","CGND-HRA-03491"
"ENSG00000107902","173","Cerebellum","NEUUW911LWA","CGND-HRA-00538"
"ENSG00000107902","549","Cerebellum","NEUUY552RBK","CGND-HRA-01644"
"ENSG00000107902","186","Cerebellum","NEUUZ212DHJ","CGND-HRA-03019"
"ENSG00000107902","152","Cerebellum","NEUVB305VU7","CGND-HRA-00194"
"ENSG00000107902","496","Cerebellum","NEUVE818GRA","CGND-HRA-03063"
"ENSG00000107902","273","Cerebellum","NEUVM032BF2","CGND-HRA-02632"
"ENSG00000107902","212","Cerebellum","NEUVZ387WGH","CGND-HRA-00326"
"ENSG00000107902","288","Cerebellum","NEUWC334RTZ","CGND-HRA-01372"
"ENSG00000107902","519","Cerebellum","NEUWD570BTK","CGND-HRA-01378"
"ENSG00000107902","475","Cerebellum","NEUWG326WUJ","CGND-HRA-01619"
"ENSG00000107902","382","Cerebellum","NEUWG523WRV","CGND-HRA-00639-2"
"ENSG00000107902","315","Cerebellum","NEUWK953TJN","CGND-HRA-02450"
"ENSG00000107902","457","Cerebellum","NEUWL993GU2","CGND-HRA-00676"
"ENSG00000107902","508","Cerebellum","NEUWP285RM6","CGND-HRA-00416"
"ENSG00000107902","187","Cerebellum","NEUWT414AYT","CGND-HRA-02181"
"ENSG00000107902","565","Cerebellum","NEUWX051HMF","CGND-HRA-01442"
"ENSG00000107902","405","Cerebellum","NEUWX086DGZ","CGND-HRA-00075"
"ENSG00000107902","769","Cerebellum","NEUWZ373ZHA","CGND-HRA-00311"
"ENSG00000107902","387","Cerebellum","NEUWZ841BRT","CGND-HRA-03265"
"ENSG00000107902","432","Cerebellum","NEUXD265LJ8","CGND-HRA-01657"
"ENSG00000107902","205","Cerebellum","NEUXD817GGZ","CGND-HRA-00718"
"ENSG00000107902","394","Cerebellum","NEUXD817GGZ","CGND-HRA-02220"
"ENSG00000107902","521","Cerebellum","NEUXF746MEU","CGND-HRA-02462"
"ENSG00000107902","367","Cerebellum","NEUXR145UBL","CGND-HRA-01358"
"ENSG00000107902","571","Cerebellum","NEUXT258BD4","CGND-HRA-00728"
"ENSG00000107902","131","Cerebellum","NEUXT979EZV","CGND-HRA-00078"
"ENSG00000107902","582","Cerebellum","NEUXV447YXF","CGND-HRA-03421"
"ENSG00000107902","625","Cerebellum","NEUXW599BNC","CGND-HRA-01311"
"ENSG00000107902","445","Cerebellum","NEUXY076JMB","CGND-HRA-00662"
"ENSG00000107902","400","Cerebellum","NEUYB686REL","CGND-HRA-00079"
