"Gene","Count","Tissue","Patient ID","Data File ID"
"ENSG00000142949","1837","Cerebellum","JHU50","CGND-HRA-00146"
"ENSG00000142949","1031","Cerebellum","JHU55","CGND-HRA-00151"
"ENSG00000142949","1020","Cerebellum","JHU58","CGND-HRA-00154"
"ENSG00000142949","951","Cerebellum","JHU60","CGND-HRA-00156"
"ENSG00000142949","569","Cerebellum","JHU63","CGND-HRA-00159"
"ENSG00000142949","667","Cerebellum","JHU70","CGND-HRA-00166"
"ENSG00000142949","563","Cerebellum","JHU72","CGND-HRA-00168"
"ENSG00000142949","539","Cerebellum","JHU73","CGND-HRA-00169"
"ENSG00000142949","842","Cerebellum","JHU73","CGND-HRA-00523"
"ENSG00000142949","730","Cerebellum","JHU74","CGND-HRA-00170"
"ENSG00000142949","1086","Cerebellum","JHU79","CGND-HRA-00175"
"ENSG00000142949","1149","Cerebellum","JHU79","CGND-HRA-00525"
"ENSG00000142949","700","Cerebellum","JHU8","CGND-HRA-00104"
"ENSG00000142949","678","Cerebellum","JHU80","CGND-HRA-00566"
"ENSG00000142949","747","Cerebellum","JHU82","CGND-HRA-00178"
"ENSG00000142949","758","Cerebellum","JHU82","CGND-HRA-00531"
"ENSG00000142949","946","Cerebellum","JHU83","CGND-HRA-00179"
"ENSG00000142949","1281","Cerebellum","JHU83","CGND-HRA-00532"
"ENSG00000142949","751","Cerebellum","NEUAA712LGL","CGND-HRA-03025"
"ENSG00000142949","842","Cerebellum","NEUAE883HW3","CGND-HRA-02642"
"ENSG00000142949","2951","Cerebellum","NEUAG831KFQ","CGND-HRA-01430"
"ENSG00000142949","2992","Cerebellum","NEUAJ995AXE","CGND-HRA-02468"
"ENSG00000142949","1157","Cerebellum","NEUAL503EPH","CGND-HRA-01303"
"ENSG00000142949","1635","Cerebellum","NEUAL503EPH","CGND-HRA-03600"
"ENSG00000142949","985","Cerebellum","NEUAP156PM4","CGND-HRA-00183"
"ENSG00000142949","1037","Cerebellum","NEUAP156PM4","CGND-HRA-00534"
"ENSG00000142949","1200","Cerebellum","NEUAT369TG5","CGND-HRA-00333"
"ENSG00000142949","1687","Cerebellum","NEUAV181KYK","CGND-HRA-02407"
"ENSG00000142949","803","Cerebellum","NEUAV667LJK","CGND-HRA-00341"
"ENSG00000142949","2259","Cerebellum","NEUAY067UTB","CGND-HRA-00746"
"ENSG00000142949","1250","Cerebellum","NEUBB078VEG","CGND-HRA-01319"
"ENSG00000142949","1802","Cerebellum","NEUBD692FG6","CGND-HRA-03324"
"ENSG00000142949","981","Cerebellum","NEUBE992ZD1","CGND-HRA-01606"
"ENSG00000142949","1226","Cerebellum","NEUBN400CYR","CGND-HRA-03415"
"ENSG00000142949","884","Cerebellum","NEUBU587UWA","CGND-HRA-02238"
