"Gene","Count","Tissue","Patient ID","Data File ID"
"ENSG00000280134","63","Cerebellum","NEUEL133AK6","CGND-HRA-00069"
"ENSG00000280134","44","Cerebellum","NEUEL766XR1","CGND-HRA-03485"
"ENSG00000280134","67","Cerebellum","NEUEM417CHQ","CGND-HRA-02507-2"
"ENSG00000280134","30","Cerebellum","NEUEP010ZFE","CGND-HRA-01178"
"ENSG00000280134","24","Cerebellum","NEUFE255AG2","CGND-HRA-00486"
"ENSG00000280134","29","Cerebellum","NEUFF179PPT","CGND-HRA-00492"
"ENSG00000280134","82","Cerebellum","NEUFG213VG0","CGND-HRA-03295"
"ENSG00000280134","57","Cerebellum","NEUFN693AHN","CGND-HRA-02741"
"ENSG00000280134","27","Cerebellum","NEUFT454ZFP","CGND-HRA-00203"
"ENSG00000280134","25","Cerebellum","NEUFU395MJD","CGND-HRA-03057"
"ENSG00000280134","31","Cerebellum","NEUFV843EVC","CGND-HRA-01504"
"ENSG00000280134","82","Cerebellum","NEUFY271WFL","CGND-HRA-03271"
"ENSG00000280134","40","Cerebellum","NEUGA773REC","CGND-HRA-00081"
"ENSG00000280134","27","Cerebellum","NEUGD051YM7","CGND-HRA-02432"
"ENSG00000280134","10","Cerebellum","NEUGD887RT1","CGND-HRA-01492-2"
"ENSG00000280134","23","Cerebellum","NEUGG230KV0","CGND-HRA-02438"
"ENSG00000280134","18","Cerebellum","NEUGJ562DR9","CGND-HRA-02515"
"ENSG00000280134","13","Cerebellum","NEUGJ583BEE","CGND-HRA-01184-2"
"ENSG00000280134","51","Cerebellum","NEUGK141CFH","CGND-HRA-01173"
"ENSG00000280134","44","Cerebellum","NEUGL022MN2","CGND-HRA-01585"
"ENSG00000280134","26","Cerebellum","NEUGP259EBV","CGND-HRA-01443"
"ENSG00000280134","67","Cerebellum","NEUGT049MJ1","CGND-HRA-02909"
"ENSG00000280134","34","Cerebellum","NEUGU437VNF","CGND-HRA-01422"
"ENSG00000280134","31","Cerebellum","NEUGV102NYT","CGND-HRA-01975"
"ENSG00000280134","74","Cerebellum","NEUGV399KJW","CGND-HRA-00365"
"ENSG00000280134","42","Cerebellum","NEUGY575NUQ","CGND-HRA-00585"
"ENSG00000280134","20","Cerebellum","NEUGY741GH8","CGND-HRA-00480"
"ENSG00000280134","14","Cerebellum","NEUHC282LVJ","CGND-HRA-00077"
"ENSG00000280134","118","Cerebellum","NEUHC994KV4","CGND-HRA-02232"
"ENSG00000280134","30","Cerebellum","NEUHD481VCL","CGND-HRA-00206"
