"Gene","Count","Tissue","Patient ID","Data File ID"
"ENSG00000118363","424","Cerebellum","NEURY396DC4","CGND-HRA-01603"
"ENSG00000118363","972","Cerebellum","NEURY468PVP","CGND-HRA-02244"
"ENSG00000118363","863","Cerebellum","NEUTB398FC9","CGND-HRA-00434"
"ENSG00000118363","914","Cerebellum","NEUTC015WBG","CGND-HRA-02500"
"ENSG00000118363","518","Cerebellum","NEUTC651YRK","CGND-HRA-01591-2"
"ENSG00000118363","581","Cerebellum","NEUTD254HL0","CGND-HRA-01516"
"ENSG00000118363","244","Cerebellum","NEUTL441LZ7","CGND-HRA-00319"
"ENSG00000118363","595","Cerebellum","NEUTL588HAA","CGND-HRA-01459"
"ENSG00000118363","853","Cerebellum","NEUTN269WMP","CGND-HRA-03031"
"ENSG00000118363","929","Cerebellum","NEUTP019MY9","CGND-HRA-00357"
"ENSG00000118363","1175","Cerebellum","NEUTP414KZ2","CGND-HRA-00196"
"ENSG00000118363","567","Cerebellum","NEUTR110WRK","CGND-HRA-02533"
"ENSG00000118363","1038","Cerebellum","NEUTZ062XC5","CGND-HRA-00653"
"ENSG00000118363","1140","Cerebellum","NEUTZ242FYW","CGND-HRA-02486"
"ENSG00000118363","783","Cerebellum","NEUUE532LFF","CGND-HRA-00723"
"ENSG00000118363","782","Cerebellum","NEUUF289NRL","CGND-HRA-01366"
"ENSG00000118363","752","Cerebellum","NEUUK557CZW","CGND-HRA-00475"
"ENSG00000118363","1893","Cerebellum","NEUUW406NWF","CGND-HRA-03491"
"ENSG00000118363","760","Cerebellum","NEUUW911LWA","CGND-HRA-00538"
"ENSG00000118363","905","Cerebellum","NEUUY552RBK","CGND-HRA-01644"
"ENSG00000118363","558","Cerebellum","NEUUZ212DHJ","CGND-HRA-03019"
"ENSG00000118363","628","Cerebellum","NEUVB305VU7","CGND-HRA-00194"
"ENSG00000118363","863","Cerebellum","NEUVE818GRA","CGND-HRA-03063"
"ENSG00000118363","356","Cerebellum","NEUVM032BF2","CGND-HRA-02632"
"ENSG00000118363","291","Cerebellum","NEUVZ387WGH","CGND-HRA-00326"
"ENSG00000118363","624","Cerebellum","NEUWC334RTZ","CGND-HRA-01372"
"ENSG00000118363","340","Cerebellum","NEUWD570BTK","CGND-HRA-01378"
"ENSG00000118363","977","Cerebellum","NEUWG326WUJ","CGND-HRA-01619"
"ENSG00000118363","540","Cerebellum","NEUWG523WRV","CGND-HRA-00639-2"
"ENSG00000118363","525","Cerebellum","NEUWK953TJN","CGND-HRA-02450"
"ENSG00000118363","415","Cerebellum","NEUWL993GU2","CGND-HRA-00676"
"ENSG00000118363","825","Cerebellum","NEUWP285RM6","CGND-HRA-00416"
"ENSG00000118363","549","Cerebellum","NEUWT414AYT","CGND-HRA-02181"
"ENSG00000118363","690","Cerebellum","NEUWX051HMF","CGND-HRA-01442"
"ENSG00000118363","1350","Cerebellum","NEUWX086DGZ","CGND-HRA-00075"
"ENSG00000118363","872","Cerebellum","NEUWZ373ZHA","CGND-HRA-00311"
"ENSG00000118363","1629","Cerebellum","NEUWZ841BRT","CGND-HRA-03265"
"ENSG00000118363","855","Cerebellum","NEUXD265LJ8","CGND-HRA-01657"
"ENSG00000118363","790","Cerebellum","NEUXD817GGZ","CGND-HRA-00718"
"ENSG00000118363","681","Cerebellum","NEUXD817GGZ","CGND-HRA-02220"
"ENSG00000118363","932","Cerebellum","NEUXF746MEU","CGND-HRA-02462"
"ENSG00000118363","733","Cerebellum","NEUXR145UBL","CGND-HRA-01358"
"ENSG00000118363","1215","Cerebellum","NEUXT258BD4","CGND-HRA-00728"
"ENSG00000118363","603","Cerebellum","NEUXT979EZV","CGND-HRA-00078"
"ENSG00000118363","2197","Cerebellum","NEUXV447YXF","CGND-HRA-03421"
"ENSG00000118363","772","Cerebellum","NEUXW599BNC","CGND-HRA-01311"
"ENSG00000118363","1073","Cerebellum","NEUXY076JMB","CGND-HRA-00662"
"ENSG00000118363","909","Cerebellum","NEUYB686REL","CGND-HRA-00079"
"ENSG00000118363","752","Cerebellum","NEUYE611NWL","CGND-HRA-03330"
"ENSG00000118363","426","Cerebellum","NEUYJ579GT6","CGND-HRA-02175"
"ENSG00000118363","517","Cerebellum","NEUYM351YP3","CGND-HRA-02480"
"ENSG00000118363","890","Cerebellum","NEUYT145HVC","CGND-HRA-02156"
"ENSG00000118363","3190","Cerebellum","NEUYT145HVC","CGND-HRA-03614"
"ENSG00000118363","392","Cerebellum","NEUYV496XLP","CGND-HRA-00070"
"ENSG00000118363","1025","Cerebellum","NEUYW563PXU","CGND-HRA-02493-2"
"ENSG00000118363","1080","Cerebellum","NEUYX020CB0","CGND-HRA-00386"
"ENSG00000118363","654","Cerebellum","NEUYY221HZA","CGND-HRA-00724"
"ENSG00000118363","519","Cerebellum","NEUZB953VCD","CGND-HRA-00598"
"ENSG00000118363","400","Cerebellum","NEUZK186ZK4","CGND-HRA-00202"
"ENSG00000118363","2275","Cerebellum","NEUZU200WEQ","CGND-HRA-00071"
"ENSG00000118363","288","Cerebellum","NEUZV622ZHF","CGND-HRA-00636"
"ENSG00000118363","1102","Cerebellum","NEUZX073BDK","CGND-HRA-00372"
"ENSG00000118363","350","Cerebellum","NEUZX847VWV-NEUWR459TCY","CGND-HRA-01556"
"ENSG00000200152","17","Cerebellum","GWF14-01","CGND-HRA-00295"
"ENSG00000200152","11","Cerebellum","JHU10","CGND-HRA-00106"
"ENSG00000200152","9","Cerebellum","JHU14","CGND-HRA-00110"
"ENSG00000200152","9","Cerebellum","JHU15","CGND-HRA-00111"
"ENSG00000200152","7","Cerebellum","JHU21","CGND-HRA-00117-2"
"ENSG00000200152","6","Cerebellum","JHU22","CGND-HRA-00118"
"ENSG00000200152","6","Cerebellum","JHU25","CGND-HRA-00121"
