"Gene","Count","Tissue","Patient ID","Data File ID"
"ENSG00000232460","68","Cerebellum","NEUAL503EPH","CGND-HRA-01303"
"ENSG00000232460","88","Cerebellum","NEUAL503EPH","CGND-HRA-03600"
"ENSG00000232460","19","Cerebellum","NEUAP156PM4","CGND-HRA-00183"
"ENSG00000232460","42","Cerebellum","NEUAP156PM4","CGND-HRA-00534"
"ENSG00000232460","32","Cerebellum","NEUAT369TG5","CGND-HRA-00333"
"ENSG00000232460","74","Cerebellum","NEUAV181KYK","CGND-HRA-02407"
"ENSG00000232460","27","Cerebellum","NEUAV667LJK","CGND-HRA-00341"
"ENSG00000232460","45","Cerebellum","NEUAY067UTB","CGND-HRA-00746"
"ENSG00000232460","52","Cerebellum","NEUBB078VEG","CGND-HRA-01319"
"ENSG00000232460","131","Cerebellum","NEUBD692FG6","CGND-HRA-03324"
"ENSG00000232460","30","Cerebellum","NEUBE992ZD1","CGND-HRA-01606"
"ENSG00000232460","51","Cerebellum","NEUBN400CYR","CGND-HRA-03415"
"ENSG00000232460","34","Cerebellum","NEUBU587UWA","CGND-HRA-02238"
"ENSG00000232460","76","Cerebellum","NEUBU920EK5","CGND-HRA-03312"
"ENSG00000232460","14","Cerebellum","NEUCG551GV1","CGND-HRA-00469"
"ENSG00000232460","49","Cerebellum","NEUCN416KGV","CGND-HRA-02250"
"ENSG00000232460","172","Cerebellum","NEUCP856ZH7","CGND-HRA-03307"
"ENSG00000232460","32","Cerebellum","NEUCV649UJK","CGND-HRA-00722"
"ENSG00000232460","33","Cerebellum","NEUCW292DYJ","CGND-HRA-00727"
"ENSG00000232460","42","Cerebellum","NEUCY461UB1","CGND-HRA-03045"
"ENSG00000232460","18","Cerebellum","NEUDA151YMK","CGND-HRA-00593"
"ENSG00000232460","115","Cerebellum","NEUDD512DJM","CGND-HRA-03463"
"ENSG00000232460","22","Cerebellum","NEUDG361GA9","CGND-HRA-00208"
"ENSG00000232460","16","Cerebellum","NEUDG727NTW","CGND-HRA-00428"
"ENSG00000232460","37","Cerebellum","NEUDH441CDB","CGND-HRA-03389"
"ENSG00000232460","46","Cerebellum","NEUDJ612NZM","CGND-HRA-02474"
"ENSG00000232460","42","Cerebellum","NEUDK592BDZ","CGND-HRA-02149"
"ENSG00000232460","24","Cerebellum","NEUDM397JGD","CGND-HRA-00205"
"ENSG00000232460","6","Cerebellum","NEUDR086ZDQ","CGND-HRA-00207"
"ENSG00000232460","28","Cerebellum","NEUDT233ZZ1","CGND-HRA-00422"
"ENSG00000232460","65","Cerebellum","NEUDT709YHN","CGND-HRA-01650"
