"Gene","Count","Tissue","Patient ID","Data File ID"
"ENSG00000237993","20","Cerebellum","NEUEB569WFU","CGND-HRA-01421"
"ENSG00000237993","23","Cerebellum","NEUEC006FND","CGND-HRA-00073"
"ENSG00000237993","32","Cerebellum","NEUEE362LGE","CGND-HRA-01632"
"ENSG00000237993","20","Cerebellum","NEUEE593VY7","CGND-HRA-00404"
"ENSG00000237993","15","Cerebellum","NEUEF397VVN","CGND-HRA-00303"
"ENSG00000237993","12","Cerebellum","NEUEF856BLV","CGND-HRA-00465"
"ENSG00000237993","27","Cerebellum","NEUEG442LDR","CGND-HRA-00667"
"ENSG00000237993","19","Cerebellum","NEUEH612JPA","CGND-HRA-00542"
"ENSG00000237993","19","Cerebellum","NEUEL133AK6","CGND-HRA-00069"
"ENSG00000237993","18","Cerebellum","NEUEL766XR1","CGND-HRA-03485"
"ENSG00000237993","29","Cerebellum","NEUEM417CHQ","CGND-HRA-02507-2"
"ENSG00000237993","23","Cerebellum","NEUEP010ZFE","CGND-HRA-01178"
"ENSG00000237993","30","Cerebellum","NEUFE255AG2","CGND-HRA-00486"
"ENSG00000237993","30","Cerebellum","NEUFF179PPT","CGND-HRA-00492"
"ENSG00000237993","37","Cerebellum","NEUFN693AHN","CGND-HRA-02741"
"ENSG00000237993","35","Cerebellum","NEUFT454ZFP","CGND-HRA-00203"
"ENSG00000237993","28","Cerebellum","NEUFU395MJD","CGND-HRA-03057"
"ENSG00000237993","12","Cerebellum","NEUFV843EVC","CGND-HRA-01504"
"ENSG00000237993","44","Cerebellum","NEUFY271WFL","CGND-HRA-03271"
"ENSG00000237993","30","Cerebellum","NEUGA773REC","CGND-HRA-00081"
"ENSG00000237993","33","Cerebellum","NEUGD051YM7","CGND-HRA-02432"
"ENSG00000237993","18","Cerebellum","NEUGD887RT1","CGND-HRA-01492-2"
"ENSG00000237993","35","Cerebellum","NEUGG230KV0","CGND-HRA-02438"
"ENSG00000237993","26","Cerebellum","NEUGJ562DR9","CGND-HRA-02515"
"ENSG00000237993","14","Cerebellum","NEUGJ583BEE","CGND-HRA-01184-2"
"ENSG00000237993","36","Cerebellum","NEUGK141CFH","CGND-HRA-01173"
"ENSG00000237993","12","Cerebellum","NEUGL022MN2","CGND-HRA-01585"
"ENSG00000237993","18","Cerebellum","NEUGP259EBV","CGND-HRA-01443"
"ENSG00000237993","37","Cerebellum","NEUGT049MJ1","CGND-HRA-02909"
"ENSG00000237993","10","Cerebellum","NEUGU437VNF","CGND-HRA-01422"
"ENSG00000237993","16","Cerebellum","NEUGV102NYT","CGND-HRA-01975"
"ENSG00000237993","18","Cerebellum","NEUGV399KJW","CGND-HRA-00365"
"ENSG00000237993","47","Cerebellum","NEUGY575NUQ","CGND-HRA-00585"
"ENSG00000237993","14","Cerebellum","NEUGY741GH8","CGND-HRA-00480"
"ENSG00000237993","12","Cerebellum","NEUHC282LVJ","CGND-HRA-00077"
"ENSG00000237993","10","Cerebellum","NEUHC994KV4","CGND-HRA-02232"
"ENSG00000237993","25","Cerebellum","NEUHD481VCL","CGND-HRA-00206"
"ENSG00000237993","17","Cerebellum","NEUHJ609AXD","CGND-HRA-03501"
"ENSG00000237993","12","Cerebellum","NEUHM340FBZ","CGND-HRA-00706"
"ENSG00000237993","14","Cerebellum","NEUHM399CBL","CGND-HRA-01561"
"ENSG00000237993","14","Cerebellum","NEUHR385WC6","CGND-HRA-03318"
"ENSG00000237993","6","Cerebellum","NEUHT948VAD","CGND-HRA-03457"
"ENSG00000237993","16","Cerebellum","NEUHX090PGV","CGND-HRA-00643"
"ENSG00000237993","19","Cerebellum","NEUJF556NPE","CGND-HRA-03336"
"ENSG00000237993","28","Cerebellum","NEUJL308UBK","CGND-HRA-01350"
"ENSG00000237993","15","Cerebellum","NEUJR587KPC","CGND-HRA-02226-2"
"ENSG00000237993","27","Cerebellum","NEUJT167ZDX","CGND-HRA-03277"
"ENSG00000237993","13","Cerebellum","NEUJV725KH1","CGND-HRA-03013"
"ENSG00000237993","35","Cerebellum","NEUJW763EK7","CGND-HRA-03283"
"ENSG00000237993","25","Cerebellum","NEUJZ255ZC5","CGND-HRA-00076"
"ENSG00000237993","18","Cerebellum","NEUKD974CXJ","CGND-HRA-01413"
"ENSG00000237993","33","Cerebellum","NEUKG838WER","CGND-HRA-01579"
"ENSG00000237993","21","Cerebellum","NEUKH671TD4","CGND-HRA-02256"
"ENSG00000237993","29","Cerebellum","NEUKJ257ZPG","CGND-HRA-01573"
"ENSG00000237993","19","Cerebellum","NEUKJ976GGT","CGND-HRA-03004"
"ENSG00000237993","33","Cerebellum","NEUKM699KKH","CGND-HRA-00074"
"ENSG00000237993","21","Cerebellum","NEUKN179PH8","CGND-HRA-02142"
"ENSG00000237993","15","Cerebellum","NEUKN179PH8","CGND-HRA-03607"
"ENSG00000237993","17","Cerebellum","NEUKN209FNW","CGND-HRA-01362"
"ENSG00000237993","26","Cerebellum","NEUKT470MVZ","CGND-HRA-02456"
"ENSG00000237993","27","Cerebellum","NEUKV592NUT","CGND-HRA-01616"
"ENSG00000237993","24","Cerebellum","NEUKX037NKA","CGND-HRA-00182"
"ENSG00000237993","19","Cerebellum","NEUKX037NKA","CGND-HRA-00533"
"ENSG00000237993","22","Cerebellum","NEUKY135CV6","CGND-HRA-00380"
"ENSG00000237993","39","Cerebellum","NEUKZ647RCA","CGND-HRA-03348"
"ENSG00000237993","30","Cerebellum","NEUKZ727YY5","CGND-HRA-01622"
