"Gene","Count","Tissue","Patient ID","Data File ID"
"ENSG00000283352","12","Lumbar Spinal Cord","NEURJ886YZU","CGND-HRA-01508"
"ENSG00000283352","19","Lumbar Spinal Cord","NEURK749WFB","CGND-HRA-00277"
"ENSG00000283352","14","Lumbar Spinal Cord","NEURM452NZ3","CGND-HRA-03117"
"ENSG00000283352","5","Lumbar Spinal Cord","NEURN516YR8","CGND-HRA-01565"
"ENSG00000283352","4","Lumbar Spinal Cord","NEURR345JCL","CGND-HRA-02398"
"ENSG00000283352","5","Lumbar Spinal Cord","NEURW761XNG","CGND-HRA-01455"
"ENSG00000283352","17","Lumbar Spinal Cord","NEURY396DC4","CGND-HRA-01601"
"ENSG00000283352","17","Lumbar Spinal Cord","NEURY468PVP","CGND-HRA-02242"
"ENSG00000283352","15","Lumbar Spinal Cord","NEUTB398FC9","CGND-HRA-00438"
"ENSG00000283352","10","Lumbar Spinal Cord","NEUTC015WBG","CGND-HRA-02498"
"ENSG00000283352","10","Lumbar Spinal Cord","NEUTC651YRK","CGND-HRA-01589"
"ENSG00000283352","10","Lumbar Spinal Cord","NEUTD254HL0","CGND-HRA-01514"
"ENSG00000283352","19","Lumbar Spinal Cord","NEUTH315CBQ","CGND-HRA-02523"
"ENSG00000283352","8","Lumbar Spinal Cord","NEUTL588HAA","CGND-HRA-01463"
"ENSG00000283352","6","Lumbar Spinal Cord","NEUTN269WMP","CGND-HRA-03033"
"ENSG00000283352","14","Lumbar Spinal Cord","NEUTP019MY9","CGND-HRA-00361"
"ENSG00000283352","14","Lumbar Spinal Cord","NEUTR110WRK","CGND-HRA-02531"
"ENSG00000283352","26","Lumbar Spinal Cord","NEUTZ062XC5","CGND-HRA-00657"
"ENSG00000283352","7","Lumbar Spinal Cord","NEUTZ242FYW","CGND-HRA-02484"
"ENSG00000283352","9","Lumbar Spinal Cord","NEUUA622RE8","CGND-HRA-03137"
"ENSG00000283352","11","Lumbar Spinal Cord","NEUUE532LFF","CGND-HRA-00273"
"ENSG00000283352","11","Lumbar Spinal Cord","NEUUF289NRL","CGND-HRA-01400"
"ENSG00000283352","27","Lumbar Spinal Cord","NEUUK557CZW","CGND-HRA-00474"
"ENSG00000283352","6","Lumbar Spinal Cord","NEUUW406NWF","CGND-HRA-03493"
"ENSG00000283352","4","Lumbar Spinal Cord","NEUUW911LWA","CGND-HRA-00610"
"ENSG00000283352","9","Lumbar Spinal Cord","NEUUY552RBK","CGND-HRA-01642"
"ENSG00000283352","6","Lumbar Spinal Cord","NEUUZ212DHJ","CGND-HRA-03021"
"ENSG00000283352","16","Lumbar Spinal Cord","NEUVE818GRA","CGND-HRA-03061"
"ENSG00000283352","11","Lumbar Spinal Cord","NEUVM032BF2","CGND-HRA-02636"
"ENSG00000283352","13","Lumbar Spinal Cord","NEUVV225XKB","CGND-HRA-03107"
"ENSG00000283352","11","Lumbar Spinal Cord","NEUWC334RTZ","CGND-HRA-01377"
"ENSG00000283352","9","Lumbar Spinal Cord","NEUWD570BTK","CGND-HRA-01383"
"ENSG00000283352","5","Lumbar Spinal Cord","NEUWG326WUJ","CGND-HRA-01533"
"ENSG00000283352","18","Lumbar Spinal Cord","NEUWG523WRV","CGND-HRA-00642"
"ENSG00000283352","11","Lumbar Spinal Cord","NEUWK953TJN","CGND-HRA-02448"
"ENSG00000283352","24","Lumbar Spinal Cord","NEUWP285RM6","CGND-HRA-00420"
"ENSG00000283352","6","Lumbar Spinal Cord","NEUWT414AYT","CGND-HRA-02179"
"ENSG00000283352","12","Lumbar Spinal Cord","NEUWX051HMF","CGND-HRA-01440"
"ENSG00000283352","18","Lumbar Spinal Cord","NEUWZ373ZHA","CGND-HRA-00315"
"ENSG00000283352","21","Lumbar Spinal Cord","NEUWZ841BRT","CGND-HRA-03269"
"ENSG00000283352","12","Lumbar Spinal Cord","NEUXD265LJ8","CGND-HRA-01661"
"ENSG00000283352","7","Lumbar Spinal Cord","NEUXD817GGZ","CGND-HRA-02218"
"ENSG00000283352","17","Lumbar Spinal Cord","NEUXF746MEU","CGND-HRA-02460"
"ENSG00000283352","15","Lumbar Spinal Cord","NEUXG883FGC","CGND-HRA-03123"
"ENSG00000283352","16","Lumbar Spinal Cord","NEUXH792ZDW","CGND-HRA-03109"
"ENSG00000283352","10","Lumbar Spinal Cord","NEUXN530DK8","CGND-HRA-01520"
"ENSG00000283352","21","Lumbar Spinal Cord","NEUXR099CKK","CGND-HRA-00282"
"ENSG00000283352","5","Lumbar Spinal Cord","NEUXR145UBL","CGND-HRA-01392"
"ENSG00000283352","8","Lumbar Spinal Cord","NEUXT979EZV","CGND-HRA-00036"
"ENSG00000283352","0","Lumbar Spinal Cord","NEUXV447YXF","CGND-HRA-03423"
"ENSG00000283352","14","Lumbar Spinal Cord","NEUXW599BNC","CGND-HRA-01315"
"ENSG00000283352","13","Lumbar Spinal Cord","NEUXY076JMB","CGND-HRA-00666"
"ENSG00000283352","9","Lumbar Spinal Cord","NEUXZ213MVF","CGND-HRA-01496"
"ENSG00000283352","5","Lumbar Spinal Cord","NEUYB686REL","CGND-HRA-00037"
"ENSG00000283352","10","Lumbar Spinal Cord","NEUYB841CUY","CGND-HRA-03121"
"ENSG00000283352","1","Lumbar Spinal Cord","NEUYE611NWL","CGND-HRA-03334"
"ENSG00000283352","8","Lumbar Spinal Cord","NEUYF686AK9","CGND-HRA-03346"
"ENSG00000283352","12","Lumbar Spinal Cord","NEUYJ579GT6","CGND-HRA-02173"
"ENSG00000283352","11","Lumbar Spinal Cord","NEUYT145HVC","CGND-HRA-02160"
