"Gene","Count","Tissue","Patient ID","Data File ID"
"ENSG00000127743","5","Lumbar Spinal Cord","NEUWT414AYT","CGND-HRA-02179"
"ENSG00000127743","58","Lumbar Spinal Cord","NEUWX051HMF","CGND-HRA-01440"
"ENSG00000127743","41","Lumbar Spinal Cord","NEUWZ373ZHA","CGND-HRA-00315"
"ENSG00000127743","16","Lumbar Spinal Cord","NEUWZ841BRT","CGND-HRA-03269"
"ENSG00000127743","128","Lumbar Spinal Cord","NEUXD265LJ8","CGND-HRA-01661"
"ENSG00000127743","17","Lumbar Spinal Cord","NEUXD817GGZ","CGND-HRA-02218"
"ENSG00000127743","33","Lumbar Spinal Cord","NEUXF746MEU","CGND-HRA-02460"
"ENSG00000127743","6","Lumbar Spinal Cord","NEUXG883FGC","CGND-HRA-03123"
"ENSG00000127743","1","Lumbar Spinal Cord","NEUXH792ZDW","CGND-HRA-03109"
"ENSG00000127743","30","Lumbar Spinal Cord","NEUXN530DK8","CGND-HRA-01520"
"ENSG00000127743","4","Lumbar Spinal Cord","NEUXR099CKK","CGND-HRA-00282"
"ENSG00000127743","14","Lumbar Spinal Cord","NEUXR145UBL","CGND-HRA-01392"
"ENSG00000127743","14","Lumbar Spinal Cord","NEUXT979EZV","CGND-HRA-00036"
"ENSG00000127743","9","Lumbar Spinal Cord","NEUXV447YXF","CGND-HRA-03423"
"ENSG00000127743","10","Lumbar Spinal Cord","NEUXW599BNC","CGND-HRA-01315"
"ENSG00000127743","18","Lumbar Spinal Cord","NEUXY076JMB","CGND-HRA-00666"
"ENSG00000127743","7","Lumbar Spinal Cord","NEUXZ213MVF","CGND-HRA-01496"
"ENSG00000127743","11","Lumbar Spinal Cord","NEUYB686REL","CGND-HRA-00037"
"ENSG00000127743","8","Lumbar Spinal Cord","NEUYB841CUY","CGND-HRA-03121"
"ENSG00000127743","3","Lumbar Spinal Cord","NEUYE611NWL","CGND-HRA-03334"
"ENSG00000127743","6","Lumbar Spinal Cord","NEUYF686AK9","CGND-HRA-03346"
"ENSG00000127743","42","Lumbar Spinal Cord","NEUYJ579GT6","CGND-HRA-02173"
"ENSG00000127743","2","Lumbar Spinal Cord","NEUYT145HVC","CGND-HRA-02160"
"ENSG00000127743","5","Lumbar Spinal Cord","NEUYV496XLP","CGND-HRA-00028"
"ENSG00000127743","69","Lumbar Spinal Cord","NEUYW563PXU","CGND-HRA-02491"
"ENSG00000127743","2","Lumbar Spinal Cord","NEUYX020CB0","CGND-HRA-00390"
"ENSG00000127743","4","Lumbar Spinal Cord","NEUYY221HZA","CGND-HRA-00272"
