"Gene","Count","Tissue","Patient ID","Data File ID"
"ENSG00000274562","0","Lumbar Spinal Cord","NEUXV447YXF","CGND-HRA-03423"
"ENSG00000274562","0","Lumbar Spinal Cord","NEUXW599BNC","CGND-HRA-01315"
"ENSG00000274562","0","Lumbar Spinal Cord","NEUXY076JMB","CGND-HRA-00666"
"ENSG00000274562","0","Lumbar Spinal Cord","NEUXZ213MVF","CGND-HRA-01496"
"ENSG00000274562","0","Lumbar Spinal Cord","NEUYB686REL","CGND-HRA-00037"
"ENSG00000274562","0","Lumbar Spinal Cord","NEUYB841CUY","CGND-HRA-03121"
"ENSG00000274562","0","Lumbar Spinal Cord","NEUYE611NWL","CGND-HRA-03334"
"ENSG00000274562","0","Lumbar Spinal Cord","NEUYF686AK9","CGND-HRA-03346"
"ENSG00000274562","0","Lumbar Spinal Cord","NEUYJ579GT6","CGND-HRA-02173"
"ENSG00000274562","0","Lumbar Spinal Cord","NEUYT145HVC","CGND-HRA-02160"
"ENSG00000274562","0","Lumbar Spinal Cord","NEUYV496XLP","CGND-HRA-00028"
"ENSG00000274562","0","Lumbar Spinal Cord","NEUYW563PXU","CGND-HRA-02491"
"ENSG00000274562","0","Lumbar Spinal Cord","NEUYX020CB0","CGND-HRA-00390"
"ENSG00000274562","0","Lumbar Spinal Cord","NEUYY221HZA","CGND-HRA-00272"
"ENSG00000274562","0","Lumbar Spinal Cord","NEUZF190CT2","CGND-HRA-03129"
"ENSG00000274562","0","Lumbar Spinal Cord","NEUZK186ZK4","CGND-HRA-00683"
"ENSG00000274562","0","Lumbar Spinal Cord","NEUZK363UAQ","CGND-HRA-01595"
"ENSG00000274562","0","Lumbar Spinal Cord","NEUZU200WEQ","CGND-HRA-00029"
"ENSG00000274562","0","Lumbar Spinal Cord","NEUZX073BDK","CGND-HRA-00376"
"ENSG00000274562","0","Lumbar Spinal Cord","NEUZX847VWV-NEUWR459TCY","CGND-HRA-01554"
"ENSG00000143315","692","Lumbar Spinal Cord","GWF14-01","CGND-HRA-00299"
"ENSG00000143315","708","Lumbar Spinal Cord","JHU73","CGND-HRA-00558"
"ENSG00000143315","103","Lumbar Spinal Cord","JHU79","CGND-HRA-00565"
